/usr/bin/gslp 755 root root 350 regular file -rwxr-xr-x
/usr/bin/bluetoothctl 755 root root 477168 regular file -rwxr-xr-x
/usr/bin/aomenc 755 root root 313560 regular file -rwxr-xr-x
/usr/bin/atmswitch 755 root root 14376 regular file -rwxr-xr-x
/usr/bin/partclone.vfat 777 root root 13 symbolic link lrwxrwxrwx
/usr/bin/talkd 755 root root 68304 regular file -rwxr-xr-x
/usr/bin/mrd 777 root root 6 symbolic link lrwxrwxrwx
/usr/bin/sg_sync 755 root root 14432 regular file -rwxr-xr-x
/usr/bin/mdb_load 755 root root 84064 regular file -rwxr-xr-x
/usr/bin/mkhomedir_helper 755 root root 14400 regular file -rwxr-xr-x
/usr/bin/pacsort 755 root root 14432 regular file -rwxr-xr-x
/usr/bin/bd_list_titles 755 root root 14360 regular file -rwxr-xr-x
/usr/bin/wayland-scanner 755 root root 47232 regular file -rwxr-xr-x
/usr/bin/thin_dump 777 root root 11 symbolic link lrwxrwxrwx
/usr/bin/tpm2_getcommandauditdigest 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/mtp-trexist 755 root root 14384 regular file -rwxr-xr-x
/usr/bin/telnetd 755 root root 92984 regular file -rwxr-xr-x
/usr/bin/plugreport 755 root root 14384 regular file -rwxr-xr-x
/usr/bin/sg_seek 755 root root 18528 regular file -rwxr-xr-x
/usr/bin/iscsiadm 755 root root 366792 regular file -rwxr-xr-x
/usr/bin/tpm2_policytemplate 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/dbus-run-session 755 root root 14288 regular file -rwxr-xr-x
/usr/bin/fallocate 755 root root 22648 regular file -rwxr-xr-x
/usr/bin/djvutoxml 755 root root 26824 regular file -rwxr-xr-x
/usr/bin/vfat-resize 755 root root 14384 regular file -rwxr-xr-x
/usr/bin/ocs-live-preload 755 root root 24408 regular file -rwxr-xr-x
/usr/bin/aa-load 755 root root 39512 regular file -rwxr-xr-x
/usr/bin/tss2_setcertificate 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/refind-mkfont 755 root root 1896 regular file -rwxr-xr-x
/usr/bin/ecryptfs-unwrap-passphrase 755 root root 14368 regular file -rwxr-xr-x
/usr/bin/sndiod 755 root root 105408 regular file -rwxr-xr-x
/usr/bin/partclone.minix 755 root root 80016 regular file -rwxr-xr-x
/usr/bin/ping 755 root root 155160 regular file -rwxr-xr-x
/usr/bin/blueman-services 755 root root 1238 regular file -rwxr-xr-x
/usr/bin/spirv-opt 755 root root 59512 regular file -rwxr-xr-x
/usr/bin/lirc-setup 777 root root 53 symbolic link lrwxrwxrwx
/usr/bin/wpd2text 755 root root 14472 regular file -rwxr-xr-x
/usr/bin/bashmount 755 root root 26185 regular file -rwxr-xr-x
/usr/bin/tss2_createkey 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/sudo_sendlog 755 root root 122296 regular file -rwxr-xr-x
/usr/bin/vbltest 755 root root 14440 regular file -rwxr-xr-x
/usr/bin/grep 755 root root 153840 regular file -rwxr-xr-x
/usr/bin/git-shell 755 root root 790160 regular file -rwxr-xr-x
/usr/bin/spirv-lint 755 root root 126096 regular file -rwxr-xr-x
/usr/bin/mkfifo 755 root root 34952 regular file -rwxr-xr-x
/usr/bin/systemd-stdio-bridge 755 root root 18656 regular file -rwxr-xr-x
/usr/bin/tpm2_unseal 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/qvidcap 755 root root 256280 regular file -rwxr-xr-x
/usr/bin/blueman-manager 755 root root 1146 regular file -rwxr-xr-x
/usr/bin/bs2bstream 755 root root 18480 regular file -rwxr-xr-x
/usr/bin/tpm2_stirrandom 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/jeprof 755 root root 182460 regular file -rwxr-xr-x
/usr/bin/pwck 755 root root 43000 regular file -rwxr-xr-x
/usr/bin/vgmknodes 777 root root 3 symbolic link lrwxrwxrwx
/usr/bin/avahi-resolve-address 777 root root 13 symbolic link lrwxrwxrwx
/usr/bin/ps2pdf13 755 root root 257 regular file -rwxr-xr-x
/usr/bin/mtp-sendfile 777 root root 11 symbolic link lrwxrwxrwx
/usr/bin/ivtv-ctl 755 root root 18896 regular file -rwxr-xr-x
/usr/bin/kpropd 755 root root 38992 regular file -rwxr-xr-x
/usr/bin/blkpr 755 root root 22648 regular file -rwxr-xr-x
/usr/bin/imgcmp 755 root root 22776 regular file -rwxr-xr-x
/usr/bin/mysqlslap 777 root root 12 symbolic link lrwxrwxrwx
/usr/bin/cvtenc 755 root root 16880 regular file -rwxr-xr-x
/usr/bin/pvresize 777 root root 3 symbolic link lrwxrwxrwx
/usr/bin/pacman 755 root root 153704 regular file -rwxr-xr-x
/usr/bin/fc-conflist 755 root root 14360 regular file -rwxr-xr-x
/usr/bin/lrzuntar 777 root root 6 symbolic link lrwxrwxrwx
/usr/bin/htop 755 root root 350440 regular file -rwxr-xr-x
/usr/bin/exrmultiview 755 root root 39144 regular file -rwxr-xr-x
/usr/bin/crlutil 755 root root 84104 regular file -rwxr-xr-x
/usr/bin/tdbtool 755 root root 27152 regular file -rwxr-xr-x
/usr/bin/sshfs 755 root root 92128 regular file -rwxr-xr-x
/usr/bin/fsck.cramfs 755 root root 30912 regular file -rwxr-xr-x
/usr/bin/cacaview 755 root root 22640 regular file -rwxr-xr-x
/usr/bin/certtool 755 root root 183528 regular file -rwxr-xr-x
/usr/bin/lowntfs-3g 755 root root 76032 regular file -rwxr-xr-x
/usr/bin/vgextend 777 root root 3 symbolic link lrwxrwxrwx
/usr/bin/scour 755 root root 950 regular file -rwxr-xr-x
/usr/bin/sleep 755 root root 35040 regular file -rwxr-xr-x
/usr/bin/exo-desktop-item-edit 755 root root 68216 regular file -rwxr-xr-x
/usr/bin/pldes 755 root root 15440 regular file -rwxr-xr-x
/usr/bin/spa-json-dump 755 root root 18560 regular file -rwxr-xr-x
/usr/bin/brltty 755 root root 986992 regular file -rwxr-xr-x
/usr/bin/qmi-firmware-update 755 root root 159592 regular file -rwxr-xr-x
/usr/bin/drbl-bug-report 755 root root 4669 regular file -rwxr-xr-x
/usr/bin/systemd-detect-virt 755 root root 18648 regular file -rwxr-xr-x
/usr/bin/smbtar 755 root root 4703 regular file -rwxr-xr-x
/usr/bin/exrstdattr 755 root root 55448 regular file -rwxr-xr-x
/usr/bin/gpm 755 root root 101864 regular file -rwxr-xr-x
/usr/bin/aainfo 755 root root 14352 regular file -rwxr-xr-x
/usr/bin/lzma 777 root root 2 symbolic link lrwxrwxrwx
/usr/bin/nohup 755 root root 34944 regular file -rwxr-xr-x
/usr/bin/pg_checksums 755 root root 55728 regular file -rwxr-xr-x
/usr/bin/drbl-live-hadoop 755 root root 3357 regular file -rwxr-xr-x
/usr/bin/showconsolefont 755 root root 18560 regular file -rwxr-xr-x
/usr/bin/brltty-prologue.bash 644 root root 12973 regular file -rw-r--r--
/usr/bin/dvbv5-zap 755 root root 43120 regular file -rwxr-xr-x
/usr/bin/mbim-network 755 root root 11342 regular file -rwxr-xr-x
/usr/bin/cifs.upcall 755 root root 39280 regular file -rwxr-xr-x
/usr/bin/brltty-prologue.lua 644 root root 1764 regular file -rw-r--r--
/usr/bin/pdftohtml 755 root root 116992 regular file -rwxr-xr-x
/usr/bin/grub-probe 755 root root 1390640 regular file -rwxr-xr-x
/usr/bin/irpty 755 root root 14616 regular file -rwxr-xr-x
/usr/bin/look 755 root root 14456 regular file -rwxr-xr-x
/usr/bin/tpm2_makecredential 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/mountstats 755 root root 43299 regular file -rwxr-xr-x
/usr/bin/xzless 755 root root 2383 regular file -rwxr-xr-x
/usr/bin/lirc-lsremotes 755 root root 14536 regular file -rwxr-xr-x
/usr/bin/decode_tm6000 755 root root 22736 regular file -rwxr-xr-x
/usr/bin/mariadb-backup 755 root root 22239720 regular file -rwxr-xr-x
/usr/bin/lircd-setup 755 root root 1383 regular file -rwxr-xr-x
/usr/bin/zzcat 755 root root 14344 regular file -rwxr-xr-x
/usr/bin/groupmems 2750 root groups 43120 regular file -rwxr-s---
/usr/bin/pprof 755 root root 178256 regular file -rwxr-xr-x
/usr/bin/dtsdec 755 root root 74 regular file -rwxr-xr-x
/usr/bin/testpattern 755 root root 75880 regular file -rwxr-xr-x
/usr/bin/mren 777 root root 6 symbolic link lrwxrwxrwx
/usr/bin/lou_checkhyphens 755 root root 14440 regular file -rwxr-xr-x
/usr/bin/xmlsec1 755 root root 84616 regular file -rwxr-xr-x
/usr/bin/pphs 755 root root 404 regular file -rwxr-xr-x
/usr/bin/wal 755 root root 943 regular file -rwxr-xr-x
/usr/bin/pgbench 755 root root 163312 regular file -rwxr-xr-x
/usr/bin/ffmpeg 755 root root 370896 regular file -rwxr-xr-x
/usr/bin/sonetdiag 755 root root 14536 regular file -rwxr-xr-x
/usr/bin/sync 755 root root 34944 regular file -rwxr-xr-x
/usr/bin/setarch 755 root root 22928 regular file -rwxr-xr-x
/usr/bin/ld 755 root root 1428832 regular file -rwxr-xr-x
/usr/bin/umount.ecryptfs 755 root root 14440 regular file -rwxr-xr-x
/usr/bin/xprop 755 root root 45408 regular file -rwxr-xr-x
/usr/bin/tpm2_policypcr 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/varlinkctl 755 root root 26840 regular file -rwxr-xr-x
/usr/bin/date 755 root root 96480 regular file -rwxr-xr-x
