grub-theme-garuda r26.972b17c-1
gsettings-desktop-schemas 45.0-1
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-libav 1.24.0-1
gst-plugin-pipewire 1:1.0.4-1
gst-plugins-bad 1.24.0-1
gst-plugins-bad-libs 1.24.0-1
gst-plugins-base 1.24.0-1
gst-plugins-base-libs 1.24.0-1
gst-plugins-espeak 0.5.0-4
gst-plugins-good 1.24.0-1
gst-plugins-ugly 1.24.0-1
gstreamer 1.24.0-1
gstreamer-meta 1-4
gstreamer-vaapi 1.24.0-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.2-2
gvfs-afc 1.52.2-2
gvfs-gphoto2 1.52.2-2
gvfs-mtp 1.52.2-2
gvfs-nfs 1.52.2-2
gvfs-smb 1.52.2-2
gzip 1.13-2
harfbuzz 8.3.1-1
harfbuzz-icu 8.3.1-1
hblock 3.4.4-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
hostapd 2.10-4
htop 3.3.0-1
http-parser 2.9.4-2
hwdata 0.380-1
hwinfo 23.2-1
hyphen 2.8.8-5
iana-etc 20240222-1
icu 74.2-2
iio-sensor-proxy 3.5-2
imagemagick 7.1.1.29-2
imath 3.1.11-1
imlib2 1.12.2-2
inetutils 2.5-1
input-devices-support 1.0.2-2
intel-ucode 20240312-1
inxi 3.3.33.1-1
iproute2 6.8.0-1
iptables-nft 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
iw 6.7-1
jansson 2.14-2
jbigkit 2.1-7
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
jq 1.7.1-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kanshi 1.6.0-1
kauth5 5.115.0-1
kbd 2.6.4-1
kconfig 6.0.0-1
kcoreaddons5 5.115.0-1
kernel-modules-hook 0.1.7-2
keyutils 1.6.3-2
kitemmodels5 5.115.0-1
kmod 32-1
knotifications 6.0.0-1
krb5 1.21.2-2
kstatusnotifieritem 6.0.0-2
kvantum 1.1.0-1
kvantum-qt5 1.1.0-1
kvantum-theme-nordic-git 2.2.0.r98.g6cfc459-1
kwindowsystem 6.0.0-1
kwindowsystem5 5.115.0-1
l-smash 2.14.5-3
lame 3.100-4
lcms2 2.16-1
ldb 2:2.8.0-1
less 1:643-1
lhasa 0.3.1-3
lib32-alsa-lib 1.2.11-1
lib32-at-spi2-core 2.50.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-cairo 1.18.0-2
lib32-colord 1.4.7-1
lib32-curl 8.6.0-3
lib32-dbus 1.14.10-2
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.6.2-1
lib32-flac 1.4.3-1
lib32-fontconfig 2:2.15.0-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.13.2-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.2.1-5
lib32-gdk-pixbuf2 2.42.10-2
lib32-glew 2.2.0-4
lib32-glib2 2.78.4-1
lib32-glibc 2.39-1
lib32-glu 9.0.3-1
lib32-gmp 6.3.0-1
lib32-gnutls 3.8.3-1
lib32-gtk3 1:3.24.41-1
lib32-harfbuzz 8.3.1-1
lib32-icu 74.2-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.2-1
lib32-lcms2 2.16-1
lib32-libasyncns 1:0.8+r3+g68cd5af-2
